,Id,TopicId,Topic,Title,Content,Description,UrlComment,PublishedDate,SentimentAI,SentimentQC,Tỉ lệ,SiteName,SiteId,Channel,Author,AuthorId,UrlTopic,ParentId,Labels1,Labels2,Labels3,Labels4,Type,Level,Caption,Tags,Labels,Verify Sentiment
6594,7588069322237529351_7588381948147254024,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"thế là bán xe xong phải miễn phí sạc tới 30/6/2027, xong rồi còn phải miễn thuế trước bạ, miễn phí thay pin khi hết bảo hành 😳😳😳",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODM4MTk0ODE0NzI1NDAyNA,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Phan Trà Vinfast Thái Nguyên,phantradeptrai,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODM4MTk0ODE0NzI1NDAyNA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập đến Vinfast và thể hiện sự hoài nghi, tiêu cực về chính sách.",,,neutral
6597,7588069322237529351_7588418462935270165,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"tiền bảo dưỡng , sữa chữa thay pin bù qua trạm sạc vẫn lời chán 😁",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODQxODQ2MjkzNTI3MDE2NQ,27/12/2025,Positive,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Thần Deal Đại Hiệp 🗡,thandieudaihiep67890,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODQxODQ2MjkzNTI3MDE2NQ,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện cảm xúc tích cực về việc sử dụng xe.,,,neutral
6598,7588069322237529351_7588524197442274066,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"Thì bạn mua xe đi sẽ đc ngta khuyến cáo và các trường hợp nào k đc bảo hành, nói chung thì cũng như gói mì tôm ngoài thì có tôm bóc ra có tôm đâu 😂😂😂",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUyNDE5NzQ0MjI3NDA2Ng,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Đèn Dầu Bão,kq.2705,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUyNDE5NzQ0MjI3NDA2Ng,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện sự không hài lòng về chính sách sạc.,,,neutral
6599,7588069322237529351_7588519228161344277,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Mình tưởng bảo hành pin 10 năm nếu lỡ hỏng cell thì có được bảo hành ko nhỉ,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUxOTIyODE2MTM0NDI3Nw,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,nguyễn hoàng,hoang_coitaiwan,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUxOTIyODE2MTM0NDI3Nw,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập đến Vinfast và thể hiện sự lo lắng, nghi ngờ về chính sách bảo hành.",,,neutral
6600,7588069322237529351_7588520598671196949,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Công nghệ nhiều trà bá sao kos lại rẻ như thế. Cứ hết miễn phí sạc. Hết bảo hành mố rõ kết quả. Xe xăng 10-20 năm vẫn chạy tốt. Xem 10-20 năm xe điện nó sẽ như thế nào,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUyMDU5ODY3MTE5Njk0OQ,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Vinh Biker,vinhbiker28,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUyMDU5ODY3MTE5Njk0OQ,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập đến Vinfast và thể hiện sự lo ngại, tiêu cực về xe điện.",,,neutral
6601,7588069322237529351_7588509617936745237,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"xe chỉ là công cụ, sau đó là vô vàn cái theo sau, nhẹ nhàng cũng x3 tiền, đấy mới là nơi kiếm tiền chính của nhà sx, VD như ai cũng nói đến miễn phí 5-10 năm, sau 10 năm thì ntn và cả quá trình vận hành, bảo dưỡng thì tôi ko thấy bất cứ clip nào nhắc đến hoặc quá ít, ko đại chúng",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUwOTYxNzkzNjc0NTIzNw,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Việt Nguyễn,xovina.no1,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUwOTYxNzkzNjc0NTIzNw,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện sự hoài nghi về chính sách của hãng.,,,neutral
6602,7588069322237529351_7588509736594850581,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Tới lúc sửa chữa xe mới căng,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUwOTczNjU5NDg1MDU4MQ,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Huynh Tình,huynhtinh1,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUwOTczNjU5NDg1MDU4MQ,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện cảm xúc tiêu cực về chi phí sửa chữa.,,,neutral
6603,7588069322237529351_7588525308351054610,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Chỉ ae dịch vụ là người hiểu lợi ích và độ bền xe điện rõ nhất,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUyNTMwODM1MTA1NDYxMA,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Phan Trà Vinfast Thái Nguyên,phantradeptrai,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUyNTMwODM1MTA1NDYxMA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,"Văn bản đề cập 'vinfast', thể hiện sự lo lắng về dịch vụ sạc miễn phí.",,,neutral
6604,7588069322237529351_7588544641357595399,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Thì t đang ns dịch vụ thì oke mà nhưng hãng xe nội địa mà taxi chiếm thị phần lớn thì đấy là vấn đề. Free sạc cứ bảo mỗi lần đổ xăng đút túi 1 củ nhưng giá cước lại lấy rẻ hơn xe xăng thì có đc hốc 1 củ ấy đâu,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODU0NDY0MTM1NzU5NTM5OQ,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,DuyBien14,neibyud14,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODU0NDY0MTM1NzU5NTM5OQ,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện sự lo ngại về thị phần taxi.,,,neutral
6606,7588069322237529351_7588425556263551764,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Người mua họ cũng thừa biết c nak…vì kinh doanh nó sẽ lợi hơn gd bảo dưỡng cũng rẻ hơn…nta mua được nta chấp nhận k ai ra kinh doanh mà bỏ não ở nhà đâu b😁,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODQyNTU1NjI2MzU1MTc2NA,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Trần Như BiBi Shop,trannhu95.vn,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODQyNTU1NjI2MzU1MTc2NA,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện sự hoài nghi về việc mua xe điện.,,,neutral
6607,7588069322237529351_7588409966463107847,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"điện tăng lên 4 lần giá hiện nay thì chi phí đi lại bằng xe xăng, còn bảo dưỡng thì k phải thay dầu máy, dầu hộp số, dầu cầu, hao mòn chi tiết ạ",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODQwOTk2NjQ2MzEwNzg0Nw,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Phan Trà Vinfast Thái Nguyên,phantradeptrai,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODQwOTk2NjQ2MzEwNzg0Nw,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện sự lo ngại về chi phí.,,,neutral
6608,7588069322237529351_7588479480839471893,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,"Chạy ít thì mua xe xăng lời hơn nhé, xe điện chạy 10 năm thay pin tốn 1 cục tiền khác lớn đấy, mà 10 năm mới chay thì bác sạc pin theo tiêu chuẩn hoàn hảo của Vin chứ ko theo đúng thì hết 7 năm bảo hành là chay rồi",,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODQ3OTQ4MDgzOTQ3MTg5Mw,27/12/2025,Negative,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Trường An,trng.an843,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODQ3OTQ4MDgzOTQ3MTg5Mw,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện cảm xúc tiêu cực về chi phí và bảo hành.,,,neutral
6609,7588069322237529351_7588526857991045906,6929256661fe19430ca50d22,Vinfast,Hỏi thật AE giờ mà hết mà miễn phí sạc AE có còn mua xe điện nữa k ? #vinfast #vf7,Hồi cọc tiên phong đây làm j có free mà h đc free sướng hơn hẳn 🤣 đi 1 năm tốn bảo dưỡng 700k rửa xe đâu đó chắc 2-3tr 😁,,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUyNjg1Nzk5MTA0NTkwNg,27/12/2025,Positive,Neutral,AI sai,phantradeptrai,6902268232083817473,Tiktok,Hoa Mỹ,mapkk55,https://www.tiktok.com/@phantradeptrai/video/7588069322237529351?cid=NzU4ODUyNjg1Nzk5MTA0NTkwNg,6902268232083817473_7588069322237529351,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện cảm xúc tích cực về việc được miễn phí sạc.,,,neutral
6613,1023069638660550_1402326524068191,6929256661fe19430ca50d22,Vinfast,"Nay xe e đi đc 12000 km thấy báo phải đi bảo dưỡng định kỳ, ra xưởng thấy báo giá thế này, các bác cho e xin ý kiến? Xe e vẫn bình thường, ko thế nào ạ","Nay xe e đi đc 12000 km thấy báo phải đi bảo dưỡng định kỳ, ra xưởng thấy báo giá thế này, các bác cho e xin ý kiến? Xe e vẫn bình thường, ko thế nào ạ",,http://facebook.com/1023069638660550_1402326524068191,26/12/2025,Neutral,Negative,AI sai,"Hội VinFast VF3, VF 3 Việt Nam™ (VinFastVF3ClubVN)",1.02307E+15,Facebook,Hưng Quang,100004044713319,http://facebook.com/1023069638660550_1402326524068191,1023069638660550_1402326524068191,,,,,fbGroupTopic,,Nội dung không target trực tiếp đến chủ thể được quan tâm,,,neutral
6620,444310079865861_1636064330690424,6929256661fe19430ca50d22,Vinfast,"Em ở Long Biên, xin các bác địa chỉ hàn kính lái với ạ, kính zin chỉ có vào hãng thay mà hãng cũng không có sẵn các bác ạ","Em ở Long Biên, xin các bác địa chỉ hàn kính lái với ạ, kính zin chỉ có vào hãng thay mà hãng cũng không có sẵn các bác ạ",,http://facebook.com/444310079865861_1636064330690424,26/12/2025,Neutral,Negative,AI sai,VINFAST FADIL HỖ TRỢ KỸ THUẬT,444310079865861,Facebook,Anonymous,1636064330690424,http://facebook.com/444310079865861_1636064330690424,444310079865861_1636064330690424,,,,,fbGroupTopic,,Nội dung không target trực tiếp đến chủ thể được quan tâm,,,neutral
6626,7587649349719510279_7588040277042987792,6929256661fe19430ca50d22,Vinfast,"Kiếp nạn xe Điện Vin Phét, VF3, Bạn có hối hận không ? #vinfast #vinfastvf3","em chạy accent 2018, máy hơi yếu được cái lành tiết kiệm, bao năm chả sửa gì cả, chỉ bảo dưỡng. Mà vợ em cứ đòi mua vf3 cho nó. em đang gàn cụ ạ. con wuing coi vậy mà bền thế sao cụ?",,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODA0MDI3NzA0Mjk4Nzc5Mg,26/12/2025,Negative,Neutral,AI sai,memut1706,6769763228617884673,Tiktok,AnhAnh90,mrbean888999,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODA0MDI3NzA0Mjk4Nzc5Mg,6769763228617884673_7587649349719510279,,,,,tiktokComment,,"Văn bản đề cập 'vinfast', thể hiện sự không hài lòng và lo ngại về VF3.",,,neutral
6627,7587649349719510279_7588047119547597575,6929256661fe19430ca50d22,Vinfast,"Kiếp nạn xe Điện Vin Phét, VF3, Bạn có hối hận không ? #vinfast #vinfastvf3","Ở sg bị sự cố nhanh thì 1h chậm thì 2-3h xe kéo sẽ đến đấy ạ. Vì đường chật, kẹt xe nên ko còn cách nào khác",,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODA0NzExOTU0NzU5NzU3NQ,26/12/2025,Negative,Neutral,AI sai,memut1706,6769763228617884673,Tiktok,Pao Pei,paopei.126,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODA0NzExOTU0NzU5NzU3NQ,6769763228617884673_7587649349719510279,,,,,tiktokComment,,Văn bản đề cập 'vinfast' và thể hiện cảm xúc tiêu cực về sự cố xe.,,,neutral
6628,7587649349719510279_7588045818767721234,6929256661fe19430ca50d22,Vinfast,"Kiếp nạn xe Điện Vin Phét, VF3, Bạn có hối hận không ? #vinfast #vinfastvf3",Bạn bị sự cố gì thế ạ? Ở đoạn nào? Chứ VF có chính sách hỗ trợ cho tất cả sự cố bị kéo xe về mà,,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODA0NTgxODc2NzcyMTIzNA,26/12/2025,Negative,Positive,AI sai,memut1706,6769763228617884673,Tiktok,Pao Pei,paopei.126,https://www.tiktok.com/@memut1706/video/7587649349719510279?cid=NzU4ODA0NTgxODc2NzcyMTIzNA,6769763228617884673_7587649349719510279,,,,,tiktokComment,,Văn bản đề cập 'vinfast' và thể hiện cảm xúc tiêu cực về sự cố xe.,,,neutral
6631,1023069638660550_1401692120798298,6929256661fe19430ca50d22,Vinfast,"Mấy bác cho em hỏi lúc bị ngập đi xe của Vinfast, sau đấy dùng còn ổn không? Mình mới bị 1 lần thấy vẫn ổn nên chưa đi bảo dưỡng Mình đi Vin Evo được hơn năm, chạy hầu như ngày nào cũng đi làm – đón con – đi siêu thị. Lúc mới mua cũng lo y chang mọi người: xe điện mà lỡ gặp ngập thì sao, có chập điện không, có “toang” pin không… Nhất là xem mấy clip ngập nước trên mạng xong là hoang mang. Thực tế dùng rồi mới bớt sợ. Mình ở Hà Nội, mùa mưa đường ngập như cơm bữa, có mấy lần bắt buộc phải lội qua đoạn nước tầm nửa bánh, có hôm gần chạm gầm. Cảm giác đầu tiên là… nó không bị hụt ga hay giật như xe xăng trước đây. Máy êm, đi chậm chậm, đều ga qua là xong. Không bị ám mùi xăng, không réo rú các kiểu. Về nhà mình để xe ráo nước rồi hôm sau vẫn đi làm bình thường, không báo lỗi gì. Hồi mới thì còn run, đi qua là phải lên app, soi thông số, giờ quen rồi. Xe điện bản chất kín đáy hơn, không có ống xả, cũng không cần lo nước tạt vào máy như hồi đi xe xăng. Dĩ nhiên mình vẫn né ngập nặng, nước tới chỗ để chân là mình quay đầu, không dại gì. Nhưng với các kiểu ngập “nhẹ nhàng” nội thành giờ cao điểm thì đúng là bớt stress hơn trước khá nhiều. Không biết ở Sài Gòn hay các tỉnh khác anh chị em đi xe điện có ai từng lội mưa lội ngập chưa, trải nghiệm thế nào?","Mấy bác cho em hỏi lúc bị ngập đi xe của Vinfast, sau đấy dùng còn ổn không? Mình mới bị 1 lần thấy vẫn ổn nên chưa đi bảo dưỡng Mình đi Vin Evo được hơn năm, chạy hầu như ngày nào cũng đi làm – đón con – đi siêu thị. Lúc mới mua cũng lo y chang mọi người: xe điện mà lỡ gặp ngập thì sao, có chập điện không, có “toang” pin không… Nhất là xem mấy clip ngập nước trên mạng xong là hoang mang. Thực tế dùng rồi mới bớt sợ. Mình ở Hà Nội, mùa mưa đường ngập như cơm bữa, có mấy lần bắt buộc phải lội qua đoạn nước tầm nửa bánh, có hôm gần chạm gầm. Cảm giác đầu tiên là… nó không bị hụt ga hay giật như xe xăng trước đây. Máy êm, đi chậm chậm, đều ga qua là xong. Không bị ám mùi xăng, không réo rú các kiểu. Về nhà mình để xe ráo nước rồi hôm sau vẫn đi làm bình thường, không báo lỗi gì. Hồi mới thì còn run, đi qua là phải lên app, soi thông số, giờ quen rồi. Xe điện bản chất kín đáy hơn, không có ống xả, cũng không cần lo nước tạt vào máy như hồi đi xe xăng. Dĩ nhiên mình vẫn né ngập nặng, nước tới chỗ để chân là mình quay đầu, không dại gì. Nhưng với các kiểu ngập “nhẹ nhàng” nội thành giờ cao điểm thì đúng là bớt stress hơn trước khá nhiều. Không biết ở Sài Gòn hay các tỉnh khác anh chị em đi xe điện có ai từng lội mưa lội ngập chưa, trải nghiệm thế nào?",,http://facebook.com/1023069638660550_1401692120798298,26/12/2025,Positive,Neutral,AI sai,"Hội VinFast VF3, VF 3 Việt Nam™ (VinFastVF3ClubVN)",1.02307E+15,Facebook,Hải Yến,100015375991800,http://facebook.com/1023069638660550_1401692120798298,1023069638660550_1401692120798298,,,,,fbGroupTopic,,Văn bản đề cập trực tiếp đến Vinfast và thể hiện cảm xúc tích cực về trải nghiệm sử dụng.,,,neutral
6632,706124277686588_1197019918597019,6929256661fe19430ca50d22,Vinfast,"Chắc không thể lười được nữa rồi, ăn Tết xong thì phải đi bắt đền ai đó thôi chứ cứ chạy thế này tốn lốp quá. Chẳng cán đinh cán vỉa gì mà lốp cứ vài tháng lại bị thế này vừa tốn tiền vừa mất thời gian. May là xe báo áp suất lốp ngay gần Thi Lốp chi nhánh Hà Đông. Đấy, ăn ở tử tế nên cô thương, có hỏng lốp thì cũng phải hỏng thật gần chỗ thay lốp thì cô mới chịu cơ….🤣 Chạy xe VF9 như kiểu yêu được một cô gái cực xinh, dáng chuẩn, ngực nở, eo thon, mông cong tớn. Mỗi tội chân lại bị vòng kiềng….🤣🤣🤣","Chắc không thể lười được nữa rồi, ăn Tết xong thì phải đi bắt đền ai đó thôi chứ cứ chạy thế này tốn lốp quá. Chẳng cán đinh cán vỉa gì mà lốp cứ vài tháng lại bị thế này vừa tốn tiền vừa mất thời gian. May là xe báo áp suất lốp ngay gần Thi Lốp chi nhánh Hà Đông. Đấy, ăn ở tử tế nên cô thương, có hỏng lốp thì cũng phải hỏng thật gần chỗ thay lốp thì cô mới chịu cơ….🤣 Chạy xe VF9 như kiểu yêu được một cô gái cực xinh, dáng chuẩn, ngực nở, eo thon, mông cong tớn. Mỗi tội chân lại bị vòng kiềng….🤣🤣🤣",,http://facebook.com/706124277686588_1197019918597019,26/12/2025,Positive,Negative,AI sai,ANH EM VF9 - VF9 CLUB,706124277686588,Facebook,Trần Đức Hạnh,1197019918597019,http://facebook.com/706124277686588_1197019918597019,706124277686588_1197019918597019,,,,,fbGroupTopic,,"Văn bản đề cập đến Vinfast VF9 với cảm xúc tích cực, hài hước về trải nghiệm xe.",,,neutral
6636,7588773912960322837_7588889190058558229,6929256661fe19430ca50d22,Vinfast,Pin dùng bao lâu thì hỏng??? #viral #Vin #vinfast #ôtô #vinfastvf3,PIN 90 triệu bảo hành 8 năm PIN yếu dám chạy xe đi xa không,,https://www.tiktok.com/@kimngoc20.9/video/7588773912960322837?cid=NzU4ODg4OTE5MDA1ODU1ODIyOQ,28/12/2025,Negative,Neutral,AI sai,kimngoc20.9,7218149650385372186,Tiktok,Lợi Đào,li.o515,https://www.tiktok.com/@kimngoc20.9/video/7588773912960322837?cid=NzU4ODg4OTE5MDA1ODU1ODIyOQ,7218149650385372186_7588773912960322837,,,,,tiktokComment,,Văn bản đề cập 'vinfast' và thể hiện sự lo lắng về tuổi thọ pin.,,,neutral
6642,7588703029784743189_7588901821172073234,6929256661fe19430ca50d22,Vinfast,Màu này pha 1 Da như này ổn k anh em #creatorsearchinsights #vinfast #đỏ #vf5 #viralvideo,Công nhận màu vinfast khó thật.sợ zin ở nhà máy bắn sửa chữa giữa cánh cửa còn khó lấy màu chuẩn dk,,https://www.tiktok.com/@quocson_paint/video/7588703029784743189?cid=NzU4ODkwMTgyMTE3MjA3MzIzNA,28/12/2025,Negative,Neutral,AI sai,quocson_paint,7209637146448102426,Tiktok,Trọng Cười😂,tranductrongg,https://www.tiktok.com/@quocson_paint/video/7588703029784743189?cid=NzU4ODkwMTgyMTE3MjA3MzIzNA,7209637146448102426_7588703029784743189,,,,,tiktokComment,,Văn bản đề cập 'vinfast' và thể hiện cảm xúc tiêu cực về màu xe.,,,neutral
6643,7588773912960322837_7588889742021083912,6929256661fe19430ca50d22,Vinfast,Pin dùng bao lâu thì hỏng??? #viral #Vin #vinfast #ôtô #vinfastvf3,bảo hành 7 tới 10 năm nhưng xe thì không nhé. mai mốt nó kêu xe hư chứ không phải pin 😅😅,,https://www.tiktok.com/@kimngoc20.9/video/7588773912960322837?cid=NzU4ODg4OTc0MjAyMTA4MzkxMg,28/12/2025,Negative,Neutral,AI sai,kimngoc20.9,7218149650385372186,Tiktok,Nguyễn Mạnh Cường921,nguyenmanhcuong561,https://www.tiktok.com/@kimngoc20.9/video/7588773912960322837?cid=NzU4ODg4OTc0MjAyMTA4MzkxMg,7218149650385372186_7588773912960322837,,,,,tiktokComment,,Văn bản đề cập 'vinfast' và thể hiện sự không hài lòng về chế độ bảo hành.,,,neutral
6644,7588868943981333767_7588919988616069895,6929256661fe19430ca50d22,Vinfast,#CapCut #vinfast #vf7 #manhliettinhthanvietnam Vinfast VF7 Eco đã cập bến mời mọi người qua đặt cọc lấy xe năm mới bình an#vinfastmelinh,mới đi bảo dưỡng hay sửa về mừng phết,,https://www.tiktok.com/@meoem9999/video/7588868943981333767?cid=NzU4ODkxOTk4ODYxNjA2OTg5NQ,28/12/2025,Positive,Neutral,AI sai,meoem9999,6707617099742905345,Tiktok,The Sigmar,unknown_ntg,https://www.tiktok.com/@meoem9999/video/7588868943981333767?cid=NzU4ODkxOTk4ODYxNjA2OTg5NQ,6707617099742905345_7588868943981333767,,,,,tiktokComment,,Văn bản đề cập đến Vinfast và thể hiện cảm xúc tích cực về sản phẩm.,,,neutral
6645,7588196984985488661_7588920642839118612,6929256661fe19430ca50d22,Vinfast,Xe Điện dưới góc nhìn của chuyên gia Mạng #xedien #Vinfast #vf9#VinfCut,"Uh, phí bảo trì bảo dưỡng không so được thật",,https://www.tiktok.com/@thanhkhongvlog/video/7588196984985488661?cid=NzU4ODkyMDY0MjgzOTExODYxMg,28/12/2025,Negative,Neutral,AI sai,thanhkhongvlog,7578426606059668487,Tiktok,Hạt dẻ,ap24246753,https://www.tiktok.com/@thanhkhongvlog/video/7588196984985488661?cid=NzU4ODkyMDY0MjgzOTExODYxMg,7578426606059668487_7588196984985488661,,,,,tiktokComment,,Văn bản đề cập Vinfast và thể hiện cảm xúc tiêu cực về chi phí bảo trì.,,,neutral
6646,7588349899918363922_7588535686220202760,6929256661fe19430ca50d22,Vinfast,"Miễn phí sạc pin cho ô tô điện VinFast đến 30/06/2027 VinFast (thuộc Vingroup) **miễn phí sạc pin hoàn toàn cho tất cả **khách hàng cá nhân sở hữu ô tô điện VinFast tại hệ thống trạm sạc V-GREEN đến hết ngày 30/6/2027. Nghĩa là khách mua xe VinFast sẽ được sử dụng điện sạc miễn phí trong vòng hơn 2 năm rưỡi, giúp giảm đáng kể chi phí vận hành so với xe xăng. #vf7plus #nậmcang","Hiện tại đang bảo hành 10 năm bác ạ, còn bảo dưỡng thì xe nào cũng vậy. Chủ động thì xe sẽ ngon",,https://www.tiktok.com/@vf7.min.ni.c.nh.l/video/7588349899918363922?cid=NzU4ODUzNTY4NjIyMDIwMjc2MA,27/12/2025,Positive,Neutral,AI sai,vf7.min.ni.c.nh.l,7586974110002086919,Tiktok,VF7 MIỀN NÚI CÓ NHƯ LỜI ĐỒN,vf7.min.ni.c.nh.l,https://www.tiktok.com/@vf7.min.ni.c.nh.l/video/7588349899918363922?cid=NzU4ODUzNTY4NjIyMDIwMjc2MA,7586974110002086919_7588349899918363922,,,,,tiktokComment,,Văn bản đề cập trực tiếp đến VinFast và thể hiện cảm xúc tích cực về ưu đãi.,,,neutral
6647,7588349899918363922_7588810073251185415,6929256661fe19430ca50d22,Vinfast,"Miễn phí sạc pin cho ô tô điện VinFast đến 30/06/2027 VinFast (thuộc Vingroup) **miễn phí sạc pin hoàn toàn cho tất cả **khách hàng cá nhân sở hữu ô tô điện VinFast tại hệ thống trạm sạc V-GREEN đến hết ngày 30/6/2027. Nghĩa là khách mua xe VinFast sẽ được sử dụng điện sạc miễn phí trong vòng hơn 2 năm rưỡi, giúp giảm đáng kể chi phí vận hành so với xe xăng. #vf7plus #nậmcang","thêm cả bảo hành xe và pin 10 năm , ko giới hạn km nữa , tết nào cũng dc nhận quà 🤭",,https://www.tiktok.com/@vf7.min.ni.c.nh.l/video/7588349899918363922?cid=NzU4ODgxMDA3MzI1MTE4NTQxNQ,28/12/2025,Positive,Neutral,AI sai,vf7.min.ni.c.nh.l,7586974110002086919,Tiktok,Yuki,hoan9xbg,https://www.tiktok.com/@vf7.min.ni.c.nh.l/video/7588349899918363922?cid=NzU4ODgxMDA3MzI1MTE4NTQxNQ,7586974110002086919_7588349899918363922,,,,,tiktokComment,,Văn bản đề cập trực tiếp đến VinFast và thể hiện cảm xúc tích cực về ưu đãi.,,,neutral
